Component,Name,Price (Qty 1),Price (QTY 100),Quantity (QTY 1000),,,,,,,,,
Photodiode,SD0050-3111-011,$18.89,$7.33,$6.07,,,,,,,,,
OP Amp,OPA2376,$4.66,$3.21,$2.18,,,,,,,,,
ADC,NAU7802SGI,$2.65,$2.02,$1.37,,,,,,,,,
LED Driver,TLC59108IPWR,$4.56,$2.53,$1.72,,,,,,,,,
LED 1,850nm,$1.60,$0.76,$0.57,,,,,,,,,
LED 2,940nm,$0.71,$0.32,$0.19,,,,,,,,,
LED 3,1050nm,$27.64,$18.52,$16.07,,,,,,,,,
LED 4,1200nm,$18.81,$11.58,$9.59,,,,,,,,,
LED 5,1300nm,$18.81,$11.58,$9.59,,,,,,,,,
LED 6,1460nm,$18.81,$11.58,$9.59,,,,,,,,,
LED 7,1550nm,$18.81,$11.58,$9.59,,,,,,,,,
LED 8,1650nm,$31.24,$20.93,$19.22,,,,,,,,,
Regulator,LP5951MFX-1.5,$1.49,$1.00,$0.63,,,,,,,,,
LCD,"1.28"" Waveshare",$31.36,$16.02,$11.54,,,,,,,,,
Microcontroller,ESP32 - WeMos,$9.60,$9.41,$8.83,,,,,,,,,
Connector,USB C,$0.24,$0.24,$0.20,,,,,,,,,
Battery,800mAh 3.7V Lipo,$1.60,$1.50,$1.45,,,,,,,,,
Power Switch,SPDT Switch,$2.50,$2.25,$2.00,,,,,,,,,
Push Button,Tactile Button,$0.40,$0.32,$0.16,,,,,,,,,
3D Print,-,$0.95,$0.95,$0.95,,,5,$68.66,$343.30,,$18.15,$361.45,$72.29
Vibration Motor,Piezoelectric Actuator,$1.95,$0.96,$0.64,,,100.00,$134.59,"$13,459.00",,$105.33,"$13,564.33",$135.64
,,$217.28,$134.59,$112.15,,,1000.00,$112.15,"$112,150.00",,$519.32,"$112,669.32",$112.67
,,,,,,,,,,,,,
,,,,,,,5,$68.66,$343.30,,$18.15,$361.45,$72.29
,,,,,,,100.00,$43.42,"$4,342.00",,$105.33,"$4,447.33",$44.47
,,,,,,,1000.00,$35.91,"$35,910.00",,$519.32,"$36,429.32",$36.43
PCB Manufacture,Price,Shipping Price,Total,Per Piece,,,,,,,,,
Qty 5,$3.17,$2.28,$5.45,$1.09,,,,,,,,,
Qty 100,$18.57,$29.63,$48.20,$0.48,,,,,,,,,
Qty 1000,$174.41,$137.96,$312.37,$0.31,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
PCB Assembly,Price,Per Piece,,,,,,,,,,,
Qty 5,12.7,$2.54,,$5.45,12.7,$18.15,$3.63,,,,,,
Qty 100,57.13,$0.57,,$48.20,57.13,$105.33,$1.05,,,,,,
Qty 1000,206.95,$0.21,,$312.37,206.95,$519.32,$0.52,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Mech Manufacture,,,,,,,,,,,,,
